timestamp_sec,timestamp_ms,frame_id,event_type,player_track_id,target_track_id,ball_x,ball_y,confidence
6.44,6440,7,shot,,,530.0,351.0,1.0
9.2,9200,10,goal,,,465.0,348.5,0.9
33.12,33120,36,shot,5,,237.0,352.0,0.5141
46.92,46920,51,save,246,,122.0,351.5,0.55
55.2,55200,60,pass,313,306,214.0,230.0,0.6
57.96,57960,63,shot,331,,631.0,332.0,1.0
84.64,84640,92,shot,,,629.5,337.0,0.6434
106.72,106720,116,goal,,,259.0,348.0,0.9
120.52,120520,131,shot,,,277.0,352.5,1.0
140.76,140760,153,shot,567,,236.0,351.5,1.0
140.76,140760,153,save,567,,236.0,351.5,0.55
142.6,142600,155,pass,0,578,289.0,311.0,0.6
159.16,159160,173,shot,,,515.0,311.0,1.0
163.76,163760,178,goal,2,,375.0,344.0,0.9
172.96,172960,188,save,2,,220.0,344.0,0.55
176.64,176640,192,pass,2,833,513.4364776611328,51.27409791946411,0.6
178.48,178480,194,shot,,,574.1144104003906,21.7341251373291,1.0
211.6,211600,230,pass,4,890,367.0,337.0,0.6
218.04,218040,237,shot,939,,111.0,338.0,1.0
218.96,218960,238,goal,939,,206.0,350.5,0.9
219.88,219880,239,save,873,,418.0,352.0,0.55
244.72,244720,266,shot,0,,484.0,348.5,1.0
278.76,278760,303,shot,,,439.0,315.0,1.0
291.64,291640,317,save,1194,,45.0,325.0,0.55
299.92,299920,326,goal,,,261.0,9.5,0.9
312.8,312800,340,pass,0,7,203.04327392578125,249.23968505859375,0.6
315.56,315560,343,shot,,,286.0,312.0,1.0
333.96,333960,363,shot,,,600.0,348.5,1.0
353.28,353280,384,shot,,,18.0,335.0,1.0
369.84,369840,402,shot,1676,,289.0,311.0,1.0
376.28,376280,409,save,1712,,507.0,329.0,0.55
377.2,377200,410,goal,,,268.0,348.5,0.9
392.84,392840,427,shot,1927,,630.5,349.0,1.0
393.76,393760,428,pass,1927,1736,590.0,348.0,0.6
423.2,423200,460,pass,0,2067,289.0,311.0,0.6
427.8,427800,465,shot,,,193.0,348.5,0.8074
442.52,442520,481,save,2121,,69.0,348.5,0.55
447.12,447120,486,goal,,,328.0,350.5,0.9
447.12,447120,486,shot,,,328.0,350.5,1.0
457.24,457240,497,pass,5,2154,452.3577880859375,179.92713165283203,0.6
468.28,468280,509,shot,,,90.0,351.0,0.9891
484.84,484840,527,shot,,,296.0,351.5,1.0
494.96,494960,538,pass,0,5,148.9876708984375,184.60836791992188,0.6
503.24,503240,547,goal,7,,383.98809814453125,13.316282272338867,0.9
503.24,503240,547,shot,7,,383.98809814453125,13.316282272338867,1.0
503.24,503240,547,save,7,,383.98809814453125,13.316282272338867,0.55
522.56,522559,568,shot,,,267.0,342.0,1.0
534.52,534520,581,pass,0,4,420.0,348.0,0.6
549.24,549240,597,shot,2873,,289.0,312.0,1.0
563.04,563040,612,goal,,,449.0,351.0,0.9
565.8,565800,615,shot,2927,,154.0,351.5,0.7099
565.8,565800,615,save,2927,,154.0,351.5,0.55
588.8,588800,640,shot,,,172.0,352.0,0.8619
606.28,606280,659,shot,,,484.0,352.0,1.0
616.4,616400,670,pass,0,1,345.25482177734375,257.1744384765625,0.6
622.84,622840,677,shot,,,518.0,318.0,1.0
630.2,630200,685,save,3187,,31.0,325.0,0.55
631.12,631120,686,goal,,,477.0,352.5,0.9
641.24,641240,697,shot,,,497.0,325.0,1.0
644.92,644920,701,pass,3349,0,406.0,163.0,0.6
657.8,657800,715,shot,3356,,289.0,311.0,1.0
678.04,678040,737,shot,,,32.0,335.0,1.0
691.84,691840,752,goal,,,431.0,349.5,0.9
695.52,695520,756,shot,,,287.0,350.5,1.0
713.92,713920,776,shot,3809,,289.0,312.0,1.0
719.44,719440,782,save,3850,,138.26410675048828,7.6477144956588745,0.55
744.28,744280,809,shot,,,523.0,350.0,0.5539
752.56,752560,818,pass,2,6,314.5182189941406,272.5135192871094,0.6
753.48,753480,819,goal,,,399.0,350.5,0.9
760.84,760840,827,shot,,,365.0,319.0,1.0
764.52,764520,831,save,0,,60.0,329.0,0.55
786.6,786600,855,shot,,,249.41856384277344,4.930890083312988,1.0
809.6,809600,880,shot,,,284.0,312.0,0.9283
819.72,819720,891,goal,,,359.0,347.0,0.9
837.2,837200,910,shot,,,618.0,348.0,1.0
